Sexo,Estacao,LC,CC
Macho,Chuvosa,69,47
Macho,Chuvosa,79,54
Macho,Chuvosa,63,46
Macho,Chuvosa,62,42
Macho,Chuvosa,75,48
Macho,Chuvosa,66,43
Macho,Chuvosa,73,47
Macho,Chuvosa,73,55
Macho,Chuvosa,64,44
Macho,Chuvosa,64,45
Macho,Chuvosa,80,59
Macho,Chuvosa,74,52
Macho,Chuvosa,73,50
Macho,Chuvosa,67,50
Macho,Chuvosa,71,46
Macho,Chuvosa,73,53
Macho,Chuvosa,65,51
Macho,Chuvosa,64,47
Macho,Chuvosa,68,45
Macho,Chuvosa,73,52
Macho,Chuvosa,66,47
Macho,Chuvosa,73,54
Macho,Chuvosa,72,55
Macho,Chuvosa,74,53
Macho,Chuvosa,64,49
Macho,Chuvosa,75,57
Macho,Chuvosa,70,50
Macho,Chuvosa,66,46
Macho,Chuvosa,64,45
Macho,Chuvosa,68,49
Macho,Chuvosa,72,51
Macho,Chuvosa,74,55
Macho,Chuvosa,63,54
Macho,Chuvosa,64,46
Macho,Chuvosa,72,54
Macho,Chuvosa,76,51
Macho,Chuvosa,62,47
Macho,Chuvosa,78,56
Macho,Chuvosa,74,53
Macho,Chuvosa,73,51
Macho,Chuvosa,75,52
Macho,Chuvosa,75,52
Macho,Chuvosa,75,56
Macho,Chuvosa,76,53
Macho,Chuvosa,76,56
Macho,Chuvosa,70,47
Macho,Chuvosa,73,54
Macho,Chuvosa,77,56
Macho,Chuvosa,76,53
Macho,Chuvosa,75,50
Macho,Chuvosa,69,49
Macho,Chuvosa,77,56
Macho,Chuvosa,75,47
Macho,Chuvosa,70,55
Macho,Chuvosa,77,55
Macho,Chuvosa,77,57
Macho,Chuvosa,66,47
Macho,Chuvosa,71,54
Macho,Chuvosa,73,54
Macho,Chuvosa,76,56
Macho,Chuvosa,78,61
Macho,Chuvosa,71,52
Macho,Chuvosa,76,53
Macho,Chuvosa,77,53
Macho,Chuvosa,76,55
Macho,Chuvosa,75,59
Macho,Chuvosa,77,56
Macho,Chuvosa,73,54
Macho,Chuvosa,76,57
Macho,Chuvosa,74,56
Macho,Chuvosa,79,57
Macho,Chuvosa,71,50
Macho,Chuvosa,72,51
Macho,Chuvosa,76,52
Macho,Chuvosa,71,52
Macho,Chuvosa,69,51
Macho,Chuvosa,75,56
Macho,Chuvosa,68,50
Macho,Chuvosa,77,54
Macho,Chuvosa,72,54
Macho,Chuvosa,71,52
Macho,Chuvosa,70,52
Macho,Chuvosa,69,49
Macho,Chuvosa,69,52
Macho,Chuvosa,77,59
Macho,Chuvosa,80,58
Macho,Chuvosa,75,56
Macho,Chuvosa,70,46
Macho,Chuvosa,70,50
Macho,Chuvosa,73,51
Macho,Chuvosa,62,45
Macho,Chuvosa,72,52
Macho,Chuvosa,73,52
Macho,Chuvosa,72,51
Macho,Chuvosa,69,48
Macho,Chuvosa,74,53
Macho,Chuvosa,65,49
Macho,Chuvosa,75,52
Macho,Chuvosa,65,47
Macho,Chuvosa,72,50
Macho,Chuvosa,73,53
Macho,Chuvosa,65,49
Macho,Chuvosa,77,50
Macho,Chuvosa,78,58
Macho,Chuvosa,71,53
Macho,Chuvosa,71,46
Macho,Chuvosa,72,50
Macho,Chuvosa,71,45
Macho,Chuvosa,74,53
Macho,Chuvosa,73,53
Macho,Chuvosa,60,48
Macho,Chuvosa,77,54
Macho,Chuvosa,64,42
Macho,Chuvosa,76,50
Macho,Chuvosa,71,55
Macho,Chuvosa,72,51
Macho,Chuvosa,67,49
Macho,Chuvosa,66,46
Macho,Chuvosa,76,54
Macho,Chuvosa,68,46
Macho,Chuvosa,71,47
Macho,Chuvosa,72,45
Macho,Chuvosa,70,50
Macho,Chuvosa,69,51
Macho,Chuvosa,70,54
Macho,Chuvosa,72,49
Macho,Chuvosa,66,48
Macho,Chuvosa,75,57
Macho,Chuvosa,65,48
Macho,Chuvosa,70,47
Macho,Chuvosa,68,46
Macho,Chuvosa,64,46
Macho,Chuvosa,67,50
Macho,Chuvosa,61,48
Macho,Chuvosa,72,60
Macho,Chuvosa,75,56
Macho,Chuvosa,74,49
Macho,Chuvosa,65,43
Macho,Chuvosa,76,50
Macho,Chuvosa,70,49
Macho,Chuvosa,70,49
Macho,Chuvosa,69,53
Macho,Chuvosa,71,53
Macho,Chuvosa,63,46
Macho,Chuvosa,70,49
Macho,Chuvosa,74,50
Macho,Chuvosa,69,47
Macho,Chuvosa,74,51
Macho,Chuvosa,71,59
Macho,Chuvosa,71,51
Macho,Chuvosa,72,54
Macho,Chuvosa,68,48
Macho,Chuvosa,65,40
Macho,Chuvosa,57,46
Macho,Chuvosa,71,50
Macho,Chuvosa,66,44
Macho,Chuvosa,66,48
Macho,Chuvosa,65,52
Macho,Chuvosa,60,49
Macho,Chuvosa,67,52
Macho,Chuvosa,70,52
Macho,Chuvosa,68,46
Macho,Chuvosa,71,45
Macho,Chuvosa,68,50
Macho,Chuvosa,74,54
Macho,Chuvosa,68,50
Macho,Chuvosa,74,54
Macho,Chuvosa,65,50
Macho,Chuvosa,70,54
Macho,Chuvosa,72,43
Macho,Chuvosa,64,46
Macho,Chuvosa,67,46
Macho,Chuvosa,74,56
Macho,Chuvosa,64,47
Macho,Chuvosa,69,46
Macho,Chuvosa,62,46
Macho,Chuvosa,63,49
Macho,Chuvosa,69,54
Macho,Chuvosa,66,47
Macho,Chuvosa,68,45
Macho,Chuvosa,73,47
Macho,Chuvosa,70,50
Macho,Chuvosa,81,57
Macho,Chuvosa,72,47
Macho,Chuvosa,70,54
Macho,Chuvosa,73,53
Macho,Chuvosa,70,53
Macho,Chuvosa,69,51
Macho,Chuvosa,70,50
Macho,Chuvosa,70,49
Macho,Chuvosa,71,51
Macho,Chuvosa,68,54
Macho,Chuvosa,67,49
Macho,Chuvosa,66,48
Macho,Chuvosa,67,49
Macho,Chuvosa,72,53
Macho,Chuvosa,76,49
Macho,Chuvosa,70,44
Macho,Chuvosa,75,55
Macho,Chuvosa,68,50
Macho,Chuvosa,66,44
Macho,Chuvosa,71,55
Macho,Chuvosa,69,50
Macho,Chuvosa,66,43
Macho,Chuvosa,67,40
Macho,Chuvosa,66,50
Macho,Chuvosa,68,50
Macho,Chuvosa,70,49
Macho,Chuvosa,71,53
Macho,Chuvosa,69,55
Macho,Chuvosa,75,53
Macho,Chuvosa,70,54
Macho,Chuvosa,74,53
Macho,Chuvosa,68,52
Macho,Chuvosa,66,51
Macho,Chuvosa,70,54
Macho,Chuvosa,70,49
Macho,Chuvosa,67,57
Macho,Chuvosa,67,48
Macho,Chuvosa,76,45
Macho,Chuvosa,63,48
Macho,Chuvosa,60,45
Macho,Chuvosa,68,48
Macho,Chuvosa,71,48
Macho,Chuvosa,64,45
Macho,Chuvosa,66,50
Macho,Chuvosa,73,49
Macho,Chuvosa,66,44
Macho,Chuvosa,69,53
Macho,Chuvosa,75,55
Macho,Chuvosa,67,48
Macho,Chuvosa,67,51
Macho,Chuvosa,69,48
Macho,Chuvosa,62,47
Macho,Chuvosa,68,48
Macho,Chuvosa,72,55
Macho,Chuvosa,73,50
Macho,Chuvosa,73,49
Macho,Chuvosa,78,57
